TICKER,,ESTILO,STRIKE,A/I/O,ÚLTIMO,VARIAÇÃO,DATA,NEGÓCIOS,VOL.FINANCEIRO,VOLATILIDADE,DELTA,GAMMA,THETA($),THETA(%),VEGA
N252,0,E,25.16,O,,,,,,,,,,,
N259,0,E,25.91,O,,,,,,,,,,,
N264,0,E,26.41,O,,,,,,,,,,,
N269,0,E,26.91,O,,,,,,,,,,,
N274,0,E,27.41,O,,,,,,,,,,,
N279,0,E,27.91,O,0.08,,21/12/2022,1,8.0,,,,,,
N284,0,E,28.41,O,,,,,,,,,,,
N289,0,E,28.91,O,0.05,-0.7917,01/02/2023,3,28.0,,,,,,
N294,0,E,29.41,O,0.01,0.0,03/02/2023,2,6.0,,,,,,
N299,0,E,29.91,O,,,,,,,,,,,
N302,0,E,30.16,O,0.03,-0.25,03/02/2023,1,3.0,0.58,-0.0153,0.0087,-0.0082,-0.273,0.2939
N304,0,E,30.41,O,0.09,0.2857,16/01/2023,3,1683.0,,,,,,
N310,0,E,30.91,O,0.07,0.0,26/01/2023,1,210.0,,,,,,
N312,0,E,31.16,O,0.09,-0.1818,30/01/2023,6,1125.0,0.50141,-0.054,0.025,-0.016,-0.1782,0.96
N314,0,E,31.41,O,0.11,-0.0833,30/01/2023,1,1210.0,0.48937,-0.0574,0.0269,-0.0164,-0.149,1.0077
N319,0,E,31.91,O,0.12,-0.0769,30/01/2023,4,1312.0,0.48063,-0.0716,0.0325,-0.019,-0.1584,1.1962
N322,0,E,32.16,O,0.06,-0.5714,31/01/2023,1,6.0,0.52125,-0.05,0.0263,-0.0191,-0.3186,0.7748
N324,0,E,32.41,O,0.09,-0.4375,31/01/2023,1,90.0,0.49359,-0.0552,0.0286,-0.0186,-0.2063,0.8805
N329,0,E,32.91,O,0.09,-0.5714,31/01/2023,3,169.0,0.49781,-0.0646,0.0336,-0.0223,-0.2476,0.9513
N332,0,E,33.16,O,0.12,-0.0769,02/02/2023,1,12.0,0.49437,-0.075,0.038,-0.0247,-0.2061,1.066
N334,0,E,33.41,O,0.14,0.0769,03/02/2023,1,70.0,0.48734,-0.0831,0.0417,-0.0263,-0.1878,1.1528
N337,0,E,33.66,O,0.16,-0.5429,31/01/2023,1,160.0,0.48234,-0.0934,0.0459,-0.0283,-0.1769,1.2575
N339,0,E,33.91,O,0.18,-0.0526,03/02/2023,1,180.0,0.47641,-0.1038,0.0502,-0.0301,-0.1674,1.3589
N342,0,E,34.16,O,0.24,0.3333,02/02/2023,2,60.0,0.47016,-0.1045,0.0508,-0.03,-0.125,1.3731
N344,0,E,34.41,O,0.15,-0.4,02/02/2023,1,15.0,0.46695,-0.1305,0.0603,-0.0345,-0.23,1.5988
N347,0,E,34.66,O,0.22,0.0,03/02/2023,2,264.0,0.45953,-0.1456,0.066,-0.0364,-0.1654,1.7212
N349,0,E,34.91,O,0.31,-0.0313,03/02/2023,5,2653.0,0.45906,-0.1626,0.0711,-0.039,-0.1258,1.853
N352,0,E,35.16,O,0.28,-0.1515,03/02/2023,2,55.0,0.45547,-0.1801,0.0764,-0.0411,-0.147,1.9784
N354,0,E,35.41,O,0.38,-0.0256,03/02/2023,3,610.0,0.44984,-0.202,0.0831,-0.0433,-0.114,2.1206
